date,open,high,low,close,volume
2022-08-25,97.17,98.52,96.05,97.42,973866
2022-08-26,99.34,100.88,97.46,100.27,1105842
2022-08-27,98.5,99.29,97.0,97.1,1107564
2022-08-28,99.26,100.15,96.58,97.42,1477022
2022-08-29,99.14,100.34,96.87,97.39,1863501
2022-08-30,96.26,97.38,94.8,96.35,1208140
2022-08-31,96.8,100.72,94.84,98.88,692512
2022-09-01,98.0,100.12,97.48,99.12,1461703
2022-09-02,98.87,100.85,95.62,96.93,691420
2022-09-03,97.36,99.06,94.42,94.81,1210644
2022-09-04,95.7,96.12,94.17,95.3,1751772
2022-09-05,94.73,96.59,91.1,92.02,1748495
2022-09-06,96.85,97.09,94.45,96.39,1964224
2022-09-07,101.23,102.87,98.33,99.55,757324
2022-09-08,96.4,97.81,95.7,97.05,1219449
2022-09-09,98.21,100.28,97.98,98.53,1367780
2022-09-10,103.07,104.81,101.08,101.38,930599
2022-09-11,104.89,106.5,103.91,104.36,875960
2022-09-12,101.6,103.18,100.87,101.37,1234042
2022-09-13,99.61,100.22,97.54,99.25,1147341
2022-09-14,103.41,104.6,102.29,104.44,1732541
2022-09-15,103.41,104.21,101.35,102.4,1715468
2022-09-16,103.76,104.1,101.96,102.19,634832
2022-09-17,105.55,106.94,102.27,103.99,1701838
2022-09-18,101.59,103.01,100.15,102.31,567411
2022-09-19,101.0,102.95,99.81,99.95,785521
2022-09-20,95.38,96.66,93.84,95.26,1988529
2022-09-21,93.51,95.16,91.69,92.77,1487073
2022-09-22,94.04,94.31,91.79,91.95,1586787
2022-09-23,88.76,91.9,87.85,90.17,713981
2022-09-24,95.25,97.36,94.28,95.52,765888
2022-09-25,90.7,92.47,90.37,91.5,1280926
2022-09-26,89.55,90.77,87.52,89.41,787139
2022-09-27,89.23,92.34,87.53,90.81,1058830
2022-09-28,91.47,94.87,90.13,94.52,510651
2022-09-29,91.07,92.18,90.15,91.18,1647815
2022-09-30,92.65,93.45,91.81,92.64,1365363
2022-10-01,91.31,92.24,90.01,91.95,1388544
2022-10-02,89.34,92.07,88.25,91.33,937625
2022-10-03,91.22,92.09,91.1,91.95,1703954
2022-10-04,93.63,93.68,91.83,92.85,1698734
2022-10-05,90.5,91.66,88.89,91.39,1956168
2022-10-06,89.39,93.87,88.48,91.95,1872070
2022-10-07,89.88,90.98,89.49,89.59,833569
2022-10-08,90.08,93.6,88.51,91.67,996574
2022-10-09,88.98,92.74,88.58,91.88,929852
2022-10-10,94.8,97.55,94.28,96.92,944865
2022-10-11,92.14,93.16,91.36,91.68,1976402
2022-10-12,97.34,99.26,96.68,98.38,755948
2022-10-13,94.58,94.8,91.42,92.93,1361069
2022-10-14,93.56,94.84,90.74,91.78,1356626
2022-10-15,93.34,93.77,92.72,93.13,1363349
2022-10-16,93.06,95.09,91.31,93.85,564200
2022-10-17,95.5,96.8,91.59,93.35,1654424
2022-10-18,92.57,93.34,90.83,93.03,606022
2022-10-19,91.54,91.66,90.47,90.95,1201979
2022-10-20,90.32,91.88,89.42,90.32,1961331
2022-10-21,92.24,95.11,90.27,94.19,1280741
2022-10-22,92.61,94.6,91.07,94.49,1610644
2022-10-23,90.8,93.8,90.74,91.81,970529
2022-10-24,92.62,93.32,92.49,93.21,1386364
2022-10-25,93.75,95.3,92.83,93.91,661445
2022-10-26,94.87,97.99,93.05,96.03,1685679
2022-10-27,95.96,96.44,94.57,95.65,724605
2022-10-28,95.12,95.4,93.76,94.76,703047
2022-10-29,93.64,93.88,92.01,92.22,1309217
2022-10-30,96.89,97.5,94.47,95.79,749768
2022-10-31,93.96,97.46,92.31,97.26,1184029
2022-11-01,97.66,99.04,95.32,96.08,1643051
2022-11-02,98.05,98.5,96.5,98.37,1010370
2022-11-03,97.28,99.15,95.35,98.13,1026570
2022-11-04,97.83,99.82,96.3,96.71,1189984
2022-11-05,98.9,101.12,97.85,99.49,720972
2022-11-06,97.46,101.14,96.88,99.91,1711353
2022-11-07,97.65,100.72,96.06,100.11,708944
2022-11-08,99.51,101.41,98.36,100.17,1492382
2022-11-09,104.03,105.08,102.09,103.35,1785016
2022-11-10,104.84,105.69,102.27,103.86,1228342
2022-11-11,107.79,108.05,105.55,106.34,1861303
2022-11-12,107.28,109.21,105.45,107.44,507461
2022-11-13,106.79,109.47,105.72,108.57,1296948
2022-11-14,106.77,107.16,105.41,105.72,972501
2022-11-15,108.44,110.16,107.04,109.42,1697162
2022-11-16,106.46,109.9,104.88,109.07,1546161
2022-11-17,108.59,110.25,106.62,107.26,883395
2022-11-18,108.83,110.93,107.12,109.47,994178
2022-11-19,107.06,109.47,105.25,107.93,731496
2022-11-20,112.33,112.35,111.33,111.88,1192148
2022-11-21,110.05,110.88,107.09,109.06,1060315
2022-11-22,106.82,107.78,106.23,106.51,1379979
2022-11-23,110.65,110.69,109.07,109.47,673921
2022-11-24,110.0,112.77,109.63,112.25,1173218
2022-11-25,112.94,114.46,111.08,112.87,1103291
2022-11-26,114.18,114.45,111.9,113.21,1207755
2022-11-27,113.25,115.4,112.95,114.33,1064046
2022-11-28,112.09,112.52,108.04,108.92,816456
2022-11-29,110.67,113.09,109.43,113.07,1879390
2022-11-30,111.49,111.97,108.66,108.82,1534262
2022-12-01,112.33,114.28,110.39,112.15,582279
2022-12-02,111.7,113.3,109.49,111.1,515434
2022-12-03,111.62,113.54,108.26,109.27,1219407
2022-12-04,109.22,112.06,107.29,111.09,940991
2022-12-05,109.34,110.5,108.51,110.28,837913
2022-12-06,108.07,111.07,106.1,109.97,828821
2022-12-07,108.58,109.49,106.6,107.93,583555
2022-12-08,107.19,110.63,105.92,108.94,676806
2022-12-09,110.71,110.91,108.7,109.03,933819
2022-12-10,105.86,107.64,104.1,106.66,1499430
2022-12-11,108.7,109.0,107.14,108.0,568803
2022-12-12,107.67,108.32,106.65,106.97,1981124
2022-12-13,104.47,105.95,102.99,103.01,1307744
2022-12-14,101.21,102.28,100.09,101.32,1248736
2022-12-15,100.72,102.57,99.66,101.82,1199539
2022-12-16,99.85,101.53,98.41,100.74,745404
2022-12-17,101.61,102.53,98.38,100.16,1142249
2022-12-18,103.58,105.15,102.95,103.11,1851099
2022-12-19,105.33,107.11,103.39,104.86,517297
2022-12-20,104.49,108.84,104.12,106.93,1288443
2022-12-21,104.76,106.77,103.05,105.2,1668810
2022-12-22,103.12,103.87,101.48,103.24,1068302
2022-12-23,101.07,105.18,99.99,103.81,1429242
2022-12-24,100.85,103.31,99.43,102.44,1727146
2022-12-25,103.59,104.1,101.96,102.59,1283152
2022-12-26,101.36,103.04,100.05,100.99,1297552
2022-12-27,102.05,102.23,100.4,102.16,1833572
2022-12-28,105.31,107.12,104.34,105.26,1889959
2022-12-29,105.42,106.73,104.71,105.8,1942721
2022-12-30,105.34,107.21,104.35,105.93,1011603
2022-12-31,106.48,109.31,104.83,107.99,1115863
